ID,state_territory,nwr_name,pub_reserv_secondary_dept,pub_acq_other_fed_secondary_dept,ease_other_fed_department,pub_reserved_primary,pub_reserved_secondary,pub_acq_other_fed_primary,pub_acq_other_fed_secondary,pub_fws_purchase_acres,pub_fws_purchase_cost,pub_donated,ease_other_fed,ease_fws_purchase_acres, ease_fws_purchase_cost ,ease_donated,agmt_lease,total_acres
1,Alabama,Bon Secour,,,,0,0,32.34,0,6415.33,23478154.00,604.78,0,0,0.00,0,575,7627.45
2,Alabama,Cahaba River,,,,0,0,0,0,3689.63,6335218.00,0,0,0,0.00,0,0,3689.63
3,Alabama,Choctaw,E,,,0,0,0,4218,0,0.00,0,0,0,0.00,0,0,4218
4,Alabama,Eufaula,E,,,0,0,0,7929,24.19,80000.00,0,0,0,0.00,0,0,7953.19
5,Alabama,Fern Cave,,,,0,0,0,0,199.23,110000.00,0,0,0,0.00,0,0,199.23
7,Alabama,Grand Bay,,,,0,0,0,0,1822,710613.00,895.86,0,0,0.00,0,0,2717.86
8,Alabama,Key Cave,,,,0,0,0,0,1060,0.00,0,0,0,0.00,0,0,1060
9,Alabama,Mountain Longleaf,,,,0,0,7758.68,0,0,0.00,1257,0,0,0.00,0,0,9015.68
10,Alabama,Sauta Cave,,,,0,0,0,0,264,575000.00,0,0,0,0.00,0,0,264
11,Alabama,Watercress Darter,,,,0,0,0,0,24.52,230850.00,0,0,0,0.00,0,0,24.52
12,Alabama,Wheeler,T,,,0,0,8322.98,25674.62,125.68,149700.00,307.38,0,0,0.00,0,0,34430.66
13,Alaska,Alaska Maritime,"AF, N",,,3291639.47,"59,099.00",0,0,44021.53,8646537.00,65.24,0,0,0.00,26983.86,6.59,3421815.69
14,Alaska,Alaska Peninsula,,,,3450176.8,0,0,0,60071.72,2501217.00,64011.21,0,0,0.00,0,0,3574259.73
15,Alaska,Arctic,,,,19263110,0,0,0,23945.11,912000.00,319.92,0,0,0.00,0,0.67,19287375.7
16,Alaska,Becharof,,,,1200000,0,0,0,366.73,567800.00,52.79,0,0,0.00,0,0,1200419.52
17,Alaska,Innoko,,,,3850000,0,0,0,799.87,508500.00,0,0,0,0.00,0,1.03,3850800.9
18,Alaska,Izembek,FA,,,302201,800,0,0,0,0.00,7994.12,0,0,0.00,0,0,310995.12
19,Alaska,Kanuti,,,,1430000,0,0,0,319.9,144000.00,0,0,0,0.00,0,0,1430319.9
20,Alaska,Kenai,,,,1904472,0,0,0,7941.35,11353300.00,323.91,0,26.3,0.00,0,4.3,1912767.86
21,Alaska,Kodiak,,,,1658381.29,0,0,0,176101.37,107418596.00,1113.47,0,0,2372100.00,45613.9,1.44,1881211.47
22,Alaska,Koyukuk,,,,3550000,0,0,0,159.96,96000.00,0,0,0,0.00,0,0,3550159.96
23,Alaska,Nowitna,,,,1560000,0,0,0,239.99,208000.00,0,0,0,0.00,0,0,1560239.99
24,Alaska,Selawik,,,,2150000,0,0,0,1159.81,835000.00,159.99,0,0,0.00,0,2.01,2151321.81
25,Alaska,Tetlin,,,,700000,0,0,0,242.43,223100.00,0,0,0,0.00,0,44.52,700286.95
26,Alaska,Togiak,,,,4097430,0,0,0,5705.98,6637500.00,1109.76,0,0,0.00,0,1.06,4104246.8
27,Alaska,Yukon Delta,BIA,,,19011190.88,63,0,0,198191.2,1973827.00,0,0,17355.81,0.00,0,1.49,19226802.38
28,Alaska,Yukon Flats,,,,8630000,0,0,0,6950.53,3058600.00,0,0,0,0.00,0,0.53,8636951.06
29,Arizona,Bill Williams River,R,R,,2781,943.07,0,756,1574.69,1600000.00,0,0,0,0.00,0,0,6054.76
30,Arizona,Buenos Aires,,,,0,0,0,0,117009.13,15111791.00,0,0,0,0.00,0,301.66,117310.79
31,Arizona,Cabeza Prieta,,,,860000,0,0,0,41.32,18300.00,0,0,0,0.00,0,0,860041.32
32,Arizona,Cibola,,R,,8372.84,0,4171.01,463.27,192.22,382000.00,0,0,0,0.00,0,0,13199.34
33,Arizona,Havasu,R,R,,10004.54,10418.3,0,9816.98,40,8000.00,0,0,0,0.00,0,0,30279.82
34,Arizona,Imperial,R,R,,0,15861.27,0,1304.87,643.62,201724.00,0,0,0,0.00,0,0,17809.76
35,Arizona,Kofa,,,,665400,0,0,0,1240.94,498500.00,0,0,0,0.00,0,0,666640.94
